Pavarde             Vardas              Galutinis (Vid.)    
Pavarde3440         Vardas3440          5.16                
Pavarde3442         Vardas3442          5.79                
Pavarde3444         Vardas3444          8.06                
Pavarde3445         Vardas3445          7.13                
Pavarde3446         Vardas3446          7.43                
Pavarde3447         Vardas3447          6.06                
Pavarde3448         Vardas3448          6.40                
Pavarde3449         Vardas3449          8.34                
Pavarde345          Vardas345           6.54                
Pavarde3451         Vardas3451          7.87                
Pavarde3453         Vardas3453          8.16                
Pavarde3454         Vardas3454          7.81                
Pavarde3455         Vardas3455          7.66                
Pavarde3456         Vardas3456          8.22                
Pavarde3457         Vardas3457          5.15                
Pavarde3458         Vardas3458          8.26                
Pavarde346          Vardas346           7.44                
Pavarde3460         Vardas3460          6.09                
Pavarde3462         Vardas3462          5.32                
Pavarde3464         Vardas3464          7.21                
Pavarde3465         Vardas3465          7.41                
